IBOV - Carteira do Dia 09/05/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;234.689.601;0,410;
ALSO3;ALIANSCSONAE;ON  ED  NM;532.365.440;0,539;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,101;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,414;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,204;
ASAI3;ASSAI;ON  ED  NM;1.190.824.431;0,715;
AZUL4;AZUL;PN  ATZ N2;327.646.296;0,206;
B3SA3;B3;ON      NM;5.733.398.051;3,826;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;1,205;
BBDC3;BRADESCO;ON  EJ  N1;1.500.631.902;1,057;
BBDC4;BRADESCO;PN  EJ  N1;5.146.612.491;4,229;
BRAP4;BRADESPAR;PN  ED  N1;251.008.334;0,307;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,283;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,360;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,405;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,587;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,269;
CCRO3;CCR SA;ON      NM;998.462.635;0,737;
CMIG4;CEMIG;PN  ED  N1;1.442.098.974;0,916;
CIEL3;CIELO;ON  EJ  NM;1.095.401.258;0,331;
COGN3;COGNA ON;ON      NM;1.815.524.541;0,204;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,649;
CSAN3;COSAN;ON      NM;1.171.063.698;0,959;
CPFE3;CPFL ENERGIA;ON  ED  NM;187.732.538;0,312;
CMIN3;CSNMINERACAO;ON  EDJ N2;1.110.550.596;0,265;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,046;
CYRE3;CYRELA REALT;ON  ED  NM;274.142.301;0,235;
DXCO3;DEXCO;ON      NM;274.863.424;0,101;
ELET3;ELETROBRAS;ON  ED  N1;2.019.004.498;3,615;
ELET6;ELETROBRAS;PNB ED  N1;275.526.814;0,542;
EMBR3;EMBRAER;ON      NM;734.632.205;0,646;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,298;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,578;
ENEV3;ENEVA;ON      NM;1.577.877.205;0,960;
EGIE3;ENGIE BRASIL;ON  ED  NM;255.208.461;0,570;
EQTL3;EQUATORIAL;ON  EDS NM;1.115.920.673;1,644;
EZTC3;EZTEC;ON      NM;94.318.339;0,077;
FLRY3;FLEURY;ON      NM;402.677.569;0,343;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,467;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,413;
GOLL4;GOL;PN      N2;218.221.868;0,082;
NTCO3;GRUPO NATURA;ON      NM;838.904.847;0,507;
SOMA3;GRUPO SOMA;ON  ED  NM;490.736.222;0,240;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,678;
HYPE3;HYPERA;ON      NM;400.842.480;0,811;
IGTI11;IGUATEMI S.A;UNT     N1;215.741.055;0,239;
IRBR3;IRBBRASIL RE;ON      NM;81.445.253;0,144;
ITSA4;ITAUSA;PN      N1;5.014.245.900;2,367;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.630.041;6,787;
JBSS3;JBS;ON      NM;1.134.986.483;1,084;
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,751;
RENT3;LOCALIZA;ON      NM;773.535.098;2,414;
LWSA3;LOCAWEB;ON      NM;430.758.874;0,135;
LREN3;LOJAS RENNER;ON      NM;950.702.967;0,857;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,597;
MRFG3;MARFRIG;ON      NM;292.587.273;0,105;
CASH3;MELIUZ;ON      NM;691.552.778;0,031;
BEEF3;MINERVA;ON      NM;260.340.982;0,126;
MRVE3;MRV;ON      NM;305.322.465;0,134;
MULT3;MULTIPLAN;ON      N2;266.933.994;0,385;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,135;
PETR3;PETROBRAS;ON  EDR N2;2.990.884.064;4,369;
PETR4;PETROBRAS;PN  EDR N2;4.566.511.125;6,004;
