COD,SETOR,PRECO_ATUAL,LIQUIDEZ_DIARIA,DIVIDENDO,DIVIDEND_YIELD,DY_3M_ACUM,DY_6M_ACUM,DY_12M_ACUM,DY_3M_MEDIA,DY_6M_MEDIA,DY_12M_MEDIA,DY_ANO,VARIACAO_PRECO,RENTAB_PERIODO,RENTAB_ACUM,PATRIMONIO_LIQ,VPA,P_VPA,DY_PATRIMONIAL,VARIACAO_PATRIMONIAL,RENTAB_PATR_NO_PERIODO,RENTAB_PATR_ACUM,VACANCIA_FISICA,VACANCIA_FINANCEIRA,QUANTIDADE_ATIVOS
FIVN11,Shoppings,"3,00",9151,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 72.350.178,26"," 7,69","0,39",N/A,N/A,N/A,N/A,"56,00",N/A,1
BZLI11,Títulos e Val. Mob.,"19,78",514,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,68","0,68","1,14"," 448.330.841,12"," 10,77","1,84",N/A,N/A,N/A,N/A,N/A,N/A,0
XTED11,Lajes Corporativas,"8,82",2223,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,10","1,10","-37,83"," 27.688.895,17"," 13,26","0,67",N/A,N/A,N/A,N/A,"0,00","100,00",1
ALMI11,Lajes Corporativas,"790,07",6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,27","2,27","-28,29"," 224.603.756,71"," 2.020,24","0,39",N/A,N/A,N/A,N/A,"64,05",N/A,1
PABY11,Híbrido,"12,17",602,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-19,84","-19,84","-31,62"," -12.536.949,41"," -16,53","-0,74",N/A,N/A,N/A,N/A,N/A,N/A,1
ORPD11,Títulos e Val. Mob.,"11,00",5,"1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 42.852.349,31"," 147,77","0,07",N/A,N/A,N/A,N/A,N/A,N/A,0
GSFI11,Shoppings,"5,20",4279,"0,00","0,03","0,03","0,03","0,03","0,01","0,00","0,00","0,03","0,00","0,03","0,03"," 1.063.395.611,96"," 14,14","0,37",N/A,N/A,N/A,N/A,"10,30",N/A,10
PRSV11,Lajes Corporativas,"100,00",9,"1,62","0,42","1,53","2,91","5,95","0,51","0,48","0,50","4,46","5,30","5,74","-11,25"," 42.481.619,24"," 217,85","0,46",N/A,N/A,N/A,N/A,"40,90",N/A,2
FAMB11B,Lajes Corporativas,"760,00",16,"9,16","0,56","2,17","4,78","10,43","0,72","0,80","0,87","8,82","-47,80","-47,51","-47,80"," 313.538.497,89"," 2.991,78","0,25",N/A,N/A,N/A,N/A,"100,00",N/A,1
FMOF11,Lajes Corporativas,"51,00",3,"0,64",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 60.304.980,45"," 118,71","0,43",N/A,N/A,N/A,N/A,"52,08",N/A,1
HGRS11,Residencial,N/A,N/A,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 150.566.061,91"," 100,85",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
RBDS11,Residencial,"3,48",2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"," 2.519.048,96"," 19,91","0,17",N/A,N/A,N/A,N/A,N/A,N/A,0
VXXV11,Outros,"1.001,00",132,"10,76",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 261.846.981,83"," 987,05","1,01",N/A,N/A,N/A,N/A,N/A,N/A,0
HRDF11,Híbrido,"0,89",579,"6,80",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 8.627.784,08"," 1,14","0,78",N/A,N/A,N/A,N/A,N/A,N/A,0
CJCT11,Lajes Corporativas,"64,44",4,"0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 206.016.802,32"," 65,61","0,98",N/A,N/A,N/A,N/A,"59,00",N/A,1
CTXT11,Lajes Corporativas,"10,91",23,"0,09","0,39","0,78","1,36","5,53","0,26","0,23","0,46","1,36","-2,58","-2,20","-39,31"," 107.663.274,28"," 34,12","0,32",N/A,N/A,N/A,N/A,"97,00",N/A,1
SRVD11,Títulos e Val. Mob.,"7,07",5,"0,10","1,01","0,00","0,00","0,00","0,00","0,00","0,00","1,01","0,00","1,01","1,01"," 71.199.942,45"," 0,74","9,56",N/A,N/A,N/A,N/A,N/A,N/A,0
CARE11,Híbrido,"1,98",25835,"0,00","0,23","0,66","1,36","1,60","0,22","0,23","0,13","1,36","-2,63","-2,41","5,65"," 290.742.466,56"," 8,13","0,24",N/A,N/A,N/A,N/A,N/A,N/A,0
RBGS11,Shoppings,"28,45",5157,"0,18","0,62","1,59","2,73","5,12","0,53","0,46","0,43","5,12","-1,90","-1,29","-28,71"," 97.865.283,71"," 90,78","0,31","0,18","0,00","0,18","1,17","13,00",N/A,1
IBFF11,Títulos e Val. Mob.,"66,40",1924,"0,30","0,44","2,01","4,58","9,52","0,67","0,76","0,79","5,42","7,50","7,98","19,59"," 9.855.905,16"," 14,78","4,49",N/A,N/A,N/A,N/A,N/A,N/A,0
YUFI11B,Residencial,N/A,N/A,"0,63","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 50.324.959,86"," 102,15",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
CORM11,Híbrido,"99,42",2027,"0,77","0,90","2,76","5,35","11,38","0,92","0,89","0,95","6,20","-2,97","-2,10","-4,27"," 85.655.510,06"," 84,20","1,18",N/A,N/A,N/A,N/A,N/A,N/A,0
BLCP11,Outros,"91,00",123,"0,56","0,62","1,72","3,46","6,64","0,57","0,58","0,55","5,31","-0,54","0,08","19,93"," 256.580.339,90"," 111,74","0,81","0,50","-0,02","0,49","15,81","6,20",N/A,2
VVPR11,Híbrido,"101,50",2211,"0,89","0,88","2,47","4,88","9,73","0,82","0,81","0,81","6,57","2,01","2,91","15,95"," 226.032.234,18"," 98,03","1,04",N/A,N/A,N/A,N/A,"0,00",N/A,6
BTCR11,Títulos e Val. Mob.,"88,00",6663,"0,90","1,00","2,93","6,64","13,56","0,98","1,11","1,13","11,59","-6,19","-5,26","9,82"," 458.252.683,73"," 95,27","0,92","0,94","0,64","1,59","4,62",N/A,N/A,0
KNRE11,Residencial,"0,66",7333,"0,04","6,74","0,00","0,00","0,00","0,00","0,00","0,00","6,74","0,00","6,74","6,74"," 14.209.218,79"," 0,77","0,86",N/A,N/A,N/A,N/A,N/A,N/A,0
FEXC11,Títulos e Val. Mob.,"83,50",9153,"0,95","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","6,46"," 1.001.470.167,13"," 90,57","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
ARCT11,Híbrido,"87,13",6496,"0,39","0,44","2,13","4,81","13,92","0,71","0,80","1,16","13,92","-0,42","0,03","-7,05"," 369.956.160,07"," 99,77","0,87","0,76","0,04","0,80","6,31",N/A,N/A,4
TORD11,Outros,"3,80",88633,"0,05","0,93","2,57","5,12","11,45","0,86","0,85","0,95","0,93","0,00","0,93","0,93"," 488.775.081,25"," 13,94","0,27",N/A,N/A,N/A,N/A,N/A,N/A,0
QIRI11,Títulos e Val. Mob.,"78,04",39,"89,64","114,86","116,71","119,51","123,94","38,90","19,92","10,33","121,86","1,48","118,05","99,75"," 13.441.852,95"," 89,61","0,87",N/A,N/A,N/A,N/A,N/A,N/A,0
KEVE11,Residencial,"999,98",127,"3,05","0,32","0,00","0,00","0,00","0,00","0,00","0,00","0,32","0,00","0,32","0,32"," 137.045.922,68"," 927,86","1,08",N/A,N/A,N/A,N/A,N/A,N/A,0
SCPF11,Shoppings,"5,00",477,"0,05","0,91","1,85","2,52","3,98","0,62","0,42","0,33","0,91","0,00","0,91","0,91"," 49.228.205,74"," 11,72","0,43","0,28","-0,06","0,22","0,62","29,30",N/A,1
BRIP11,Híbrido,"950,00",1,"107,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 200.861.287,45"," 972,82","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
SNLG11,Logística,"35,79",514,"0,35","0,91","2,67","4,62","11,75","0,89","0,77","0,98","0,91","0,00","0,91","0,91"," 116.088.485,68"," 61,48","0,58",N/A,N/A,N/A,N/A,"0,00",N/A,3
BPML11,Shoppings,"59,00",104,"0,27","0,46","1,37","2,49","5,26","0,46","0,42","0,44","0,46","0,00","0,46","0,46"," 537.073.355,75"," 124,75","0,47",N/A,N/A,N/A,N/A,"5,80",N/A,7
KINP11,Residencial,"9,82",9168,"0,20","1,91","7,09","12,94","26,25","2,36","2,16","2,19","5,02","14,11","16,29","19,90"," 26.446.258,37"," 3,70","2,65","5,29","-7,52","-2,62","4,19",N/A,N/A,0
ATSA11,Shoppings,"70,00",1,"0,05","0,07","0,20","0,39","1,69","0,07","0,06","0,14","0,13","0,00","0,07","0,13"," 142.833.371,11"," 81,57","0,86","0,06","0,02","0,08","0,14","21,90",N/A,1
RELG11,Híbrido,"51,04",2924,"0,70","0,99","3,07","5,54","12,28","1,02","0,92","1,02","1,98","0,40","1,39","2,40"," 162.376.442,81"," 121,67","0,42","0,58","-0,19","0,39","0,96","10,40","10,40",3
